50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,b53f51e1-54af-4196-ae9d-42d7599f6aca,91,,"[4.6, 35.7]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David de Gea Quintana,3333.0,Goalkeeper,5,Manchester United,39,['4758ed17-2835-47d6-ba00-e7d66ecce915'],4,,,,,,,,,,,,,,,,,Manchester United,39,00:02:04.287,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,ff05eef6-1970-43c2-87c8-d4c4d34f8c5e,93,,"[68.6, 5.8]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marouane Fellaini-Bakkioui,3296.0,Left Defensive Midfield,5,Manchester United,39,['a7b6e0b6-cb3e-4b61-8baf-1a619f497cc5'],12,,,,,,,,,,,,,,,,,Manchester United,39,00:02:12.791,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,85cbecb0-217b-4b75-851f-6154d47a6b48,97,,"[73.1, 1.7]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anthony Martial,20039.0,Left Wing,5,Manchester United,39,['bfd9a5fa-b8e2-4cb2-b95e-b52f2806916a'],16,,,,,,,,,,,,,,,,,Manchester United,39,00:02:16.228,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,bcadf03f-9cad-4fb3-8af8-f84c289b9ffc,102,,"[64.9, 67.4]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,5,Manchester United,39,"['a2993f1a-f62d-4b7e-845f-b71c3ff282d6', 'f0f14160-e681-4303-bf0c-0f41dad301ba']",18,,,,,,,,,,,,,,,,,Liverpool,24,00:02:18.556,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,1d1e32b1-eb0e-43d1-8cf3-53e6c78e2389,106,,"[43.6, 13.0]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daley Blind,3311.0,Left Center Back,5,Manchester United,39,['d1dc3dd4-0e1a-4cf3-9557-cfda4e9689ca'],20,,,,,,,,,,,,,,,,,Manchester United,39,00:02:20.433,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,d3db0372-69a3-4899-9d62-50a1bc6a4e43,109,,"[63.4, 9.7]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ander Herrera Agüera,3606.0,Center Attacking Midfield,5,Manchester United,39,['93466849-19b3-496f-a2c7-ee33ee80a66c'],25,,,,,,,,,,,,,,,,,Manchester United,39,00:02:25.217,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,d79f61a7-1ead-4be4-a919-2f8eb26ccbf3,112,,"[81.0, 2.1]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anthony Martial,20039.0,Left Wing,5,Manchester United,39,['09aebe3a-4f55-40bd-bc1d-3f601caa5f98'],27,,,,,,,,,,,,,,,,,Manchester United,39,00:02:27.418,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,44f97f59-be79-4ee7-a0f8-3c9ca38599f5,117,,"[109.4, 13.1]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Wayne Mark Rooney,3538.0,Center Forward,5,Manchester United,39,['9883e1bf-b76e-41c2-b7a5-14a5151922d0'],30,,,,,,,,,,,,,,,,,Manchester United,39,00:02:30.920,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,e0417425-e362-40c4-97c7-b5b824cb84a6,120,,"[17.5, 68.8]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Wing,5,Manchester United,39,"['a79e11a5-3547-4ba3-9560-14699c62b37c', 'f728fa2e-09da-4c1b-8580-ccd3af199dfc']",32,,,,,,,,,,,,,,,,,Liverpool,24,00:02:32.173,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,bab5db89-393e-4df1-873d-070b878d9e01,128,,"[74.3, 34.3]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Morgan Schneiderlin,3600.0,Right Defensive Midfield,5,Manchester United,39,['5371237b-c9e4-4373-a495-c8bf54ae6365'],39,,,,,,,,,,,,,,,,,Manchester United,39,00:02:39.445,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,8d229c62-e6b4-4756-b53d-13895916dbe5,131,,"[65.0, 56.6]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Chris Smalling,10958.0,Right Center Back,5,Manchester United,39,['123eac75-dc02-4a7c-9021-31fb5ad5867d'],42,,,,,,,,,,,,,,,,,Manchester United,39,00:02:42.981,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,c0e42ab3-6275-459e-84bb-a43fb1b6a1ab,134,,"[71.4, 77.7]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ashley Young,3612.0,Right Back,5,Manchester United,39,['dbcc3b9b-cdba-4465-8bbc-6b4f7ef5c2ef'],44,,,,,,,,,,,,,,,,,Manchester United,39,00:02:44.715,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,fdf7bef6-cceb-42eb-afc1-c54a06e79dcc,137,,"[99.7, 63.9]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jesse Lingard,3293.0,Right Wing,5,Manchester United,39,['f6c2d97a-2551-4c92-8971-7227be7e790a'],47,,,,,,,,,,,,,,,,,Manchester United,39,00:02:47.221,Ball Receipt*,
