50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e5e06073-0b5f-40e5-aa19-9703e716b547,1454,,"[80.7, 43.8]",3754216,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrew Surman,3344.0,Center Defensive Midfield,92,AFC Bournemouth,28,,18,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:32:18.676,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2832fd4-9fe0-4729-8735-6c651d6333c6,1471,,"[32.5, 17.2]",3754216,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,93,Liverpool,24,,33,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:32:33.510,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d05bee02-063e-4c01-ba00-2fd27f9383d4,1492,,"[18.5, 48.0]",3754216,34,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Tommy Elphick,9626.0,Right Center Back,94,Liverpool,24,,47,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:34:47.660,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3b45610-ea04-4604-a6ac-52787c6c7414,1585,,"[64.3, 67.5]",3754216,36,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Steve Cook,3341.0,Left Center Back,96,AFC Bournemouth,28,,23,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:36:23.245,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6aa5c5c-db70-41e2-a215-5935594d7ccf,1591,,"[12.2, 27.6]",3754216,36,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danny Ward,9914.0,Goalkeeper,96,AFC Bournemouth,28,,33,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:36:33.736,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1295f5e6-5e92-4ad1-9f1f-d6daf7bb8e4f,1599,,"[67.3, 57.4]",3754216,36,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolo Habib Touré,38412.0,Right Center Back,97,Liverpool,24,['7f4623eb-13af-492b-adfb-334c36b0bcb9'],56,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:36:56.133,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b38535a2-57b4-4ae6-bb2c-a78218c51379,1641,,"[40.4, 42.0]",3754216,37,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrew Surman,3344.0,Center Defensive Midfield,98,AFC Bournemouth,28,['4b0bd159-3260-4f37-96f5-4c5022f92874'],42,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:37:42.177,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bfb80d07-be44-4168-9c93-804ab078929b,1655,,"[69.7, 76.4]",3754216,38,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,100,AFC Bournemouth,28,['42a86910-a56c-4907-8a4d-bbc253882eee'],23,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:38:23.077,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ce4bd23-f632-4115-abfd-5b18352a9f49,1704,,"[20.1, 55.1]",3754216,39,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tommy Elphick,9626.0,Right Center Back,104,AFC Bournemouth,28,['8c0553cd-307b-41f3-89dd-b1868aad7365'],11,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:39:11.875,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14e4cf90-4787-4e5b-b71b-3814651e2e25,1753,,"[113.5, 40.3]",3754216,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,106,Liverpool,24,,14,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:14.029,Ball Recovery,
