ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13661315-ee6c-4da0-9761-cf5222f1e760,2257,,"[101.3, 10.3]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thierry Henry,15516.0,Left Center Forward,154,Arsenal,1,['ca4e131c-57d6-4776-8a13-4345d5e77dc5'],9,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:09.214,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4b98fd3-0df2-4aaf-a522-552d7267dbc4,2263,,"[96.6, 21.8]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ashley Cole,12529.0,Left Back,154,Arsenal,1,['38ad3bdb-0263-4a52-8ac5-811c9f7f972e'],18,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:18.427,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcef9c85-baed-492c-ad97-72e4a45c3dbf,2265,,"[97.2, 29.2]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Robert Pirès,19312.0,Left Midfield,154,Arsenal,1,['1cec0859-355b-4102-a988-3a9ab5c34bf1'],19,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:19.699,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a2cb7fc-1df2-43e4-9c5a-50e5c8106d02,2269,,"[91.3, 25.4]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thierry Henry,15516.0,Left Center Forward,154,Arsenal,1,"['1669a423-adaa-44e0-bc51-9a1edc454ca1', 'c156728d-e289-45e3-8697-b73ddd2bdbac']",20,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:20.323,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dbcb7517-c74f-4654-825a-769f0f9b926f,2273,,"[83.9, 38.2]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gilberto Aparecido da Silva,40221.0,Left Defensive Midfield,154,Arsenal,1,['5d0acba0-838c-46fa-866b-7859ed9ebb1a'],22,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:22.856,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b575263-f2f0-4f7d-a1aa-f46f42c68d7c,2276,,"[76.0, 59.1]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kolo Habib Touré,38412.0,Right Center Back,154,Arsenal,1,['1ca2bd01-a6c7-4422-8287-1a154a0b19e2'],25,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:25.235,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561d2e8c-ce55-4fa2-a109-7ddf82cb18a8,2279,,"[87.0, 69.4]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ray Parlour,24972.0,Right Midfield,154,Arsenal,1,['483be6f3-bf2a-429f-b1ea-352751f0fa53'],27,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:27.540,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a7ba61f1-ece1-412d-b399-b271df68499b,2282,,"[107.5, 36.5]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thierry Henry,15516.0,Left Center Forward,154,Arsenal,1,['6e6919ea-a6e9-4b40-9f4c-dd30d2463681'],29,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:29.949,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660a3b69-ba1c-4e1a-89d9-7fa9f587704c,2285,,"[32.6, 67.6]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Steve Finnan,34392.0,Right Back,155,Liverpool,24,['2d21b03e-73d3-4e93-ba52-21bf5f226ee3'],47,,,,,,,,,,,,,,,,,,Liverpool,24,00:19:47.638,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db15b334-c991-49ef-aa06-e5910946a0dd,2287,,"[74.1, 72.7]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,El-Hadji Ousseynou Diouf,40257.0,Right Midfield,155,Liverpool,24,['f4cab52e-2ef3-48bf-9f06-56d9a26c5e12'],52,,,,,,,,,,,,,,,,,,Liverpool,24,00:19:52.351,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0aa610-c2ad-4313-9641-751cb639d1de,2291,,"[77.5, 66.7]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Harry Kewell,34391.0,Right Center Forward,155,Liverpool,24,"['4d0ed6d7-11b5-4e6c-8800-90d8e19009ce', '50483eee-1c17-4514-be60-103b4a7f296c']",54,,,,,,,,,,,,,,,,,,Liverpool,24,00:19:54.960,Ball Receipt*,True
