ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.491154,,,,,,,,,,,,b1db6d7a-2f89-481a-a431-4758e18ed941,1746,,"[37.0, 57.0]",3754230,40,,,,,-0.93296623,,Left Foot,,,"[43.3, 48.5]",,Ground Pass,,10.58017,,,,Sadio Mané,3629.0,,,,,,Recovery,1,From Free Kick,Dušan Tadić,3831.0,Left Wing,94,Liverpool,24,['169ab03d-e3ac-4005-8617-d7e1c8bedb10'],20,,,,,,,,,,,,,,,,,,Southampton,25,00:40:20.844,Pass,
,,,,,,,,,,,,,,,,1.329139,,,,,,,,,,,,9936a6bd-c6cc-4319-a5db-81a76b75d4a3,1749,,"[62.5, 34.3]",3754230,40,,,,,1.1919253,,Left Foot,,,"[70.9, 55.4]",,Ground Pass,,22.71057,,Incomplete,,Graziano Pellè,11062.0,,,,,,,1,From Free Kick,Sadio Mané,3629.0,Center Attacking Midfield,94,Liverpool,24,"['665cc184-1d9d-49ec-8da9-7d55c8385e08', '74c591a7-44fa-40e3-9e8e-fe319d92360a']",24,,,,,,,,,,,,,,,,,,Southampton,25,00:40:24.028,Pass,
,,,,,,,,,,,,,,,,0.74135,,,,,,,,,,,,71382fc4-7d30-4a6c-b8ba-bea8cbf45f0b,1752,,"[41.0, 42.2]",3754230,40,,,,,-0.8960554,,Left Foot,,,"[48.6, 32.7]",,Ground Pass,,12.165936,,,,Lucas Pezzini Leiva,7780.0,,,,,,Recovery,1,From Free Kick,Martin Škrtel,18872.0,Right Center Back,94,Liverpool,24,['60eeb17d-652a-4a04-9830-d12aba19cc6b'],26,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:26.446,Pass,
,,,,,,,,,,,,,,,,0.870503,,,,,,,,,,,,5a0bce1e-dc14-4e81-a43f-10e892af9de6,1755,,"[52.4, 43.4]",3754230,40,,,,,0.07776494,,Right Foot,,,"[67.8, 44.6]",,Ground Pass,,15.446683,,,,Adam David Lallana,4090.0,,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Right Center Midfield,94,Liverpool,24,['6705da86-4970-4fc0-a73e-805b7effa30d'],29,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:29.694,Pass,
,,,,,,,,,,,,,,,,1.816817,,,,,,,,,,,,54d1059f-eba3-462e-a1e9-77695e73fff6,1758,,"[68.6, 49.6]",3754230,40,,,,,1.7877359,,Right Foot,,,"[63.2, 74.1]",,Ground Pass,,25.088045,,,,James Philip Milner,3473.0,,,,,,,1,From Free Kick,Adam David Lallana,4090.0,Right Attacking Midfield,94,Liverpool,24,['a18d4923-b920-472a-9e0e-c619ac5ccfba'],31,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:31.644,Pass,
,,,,,,,,,,,,,,,,1.338606,,,,,,,,,,,,47342039-9398-4b21-a854-18161bdf266b,1761,,"[76.8, 72.1]",3754230,40,,,,,-2.6183143,,Right Foot,,,"[66.4, 66.1]",,Ground Pass,,12.006665,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Free Kick,James Philip Milner,3473.0,Center Defensive Midfield,94,Liverpool,24,['0caac0ec-bd2b-47e7-8d35-f2c244b52429'],35,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:35.708,Pass,
,,,,,,,,,,,,,,,,0.809501,,,,,,,,,,,,6742f2e6-e377-4958-bc7e-dcd83cc6c7ed,1764,,"[78.3, 60.0]",3754230,40,,,,,-0.6828782,,Right Foot,,,"[91.7, 49.1]",,Ground Pass,,17.27339,,,,Adam David Lallana,4090.0,,,,,,,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Right Back,94,Liverpool,24,['b12c1785-209e-4903-aa47-af9bdb428172'],39,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:39.922,Pass,
,,,,,,,,,,,,,,,,1.687935,,,,,,,,,,,,59c19bb8-0c35-489f-ac5d-b18d77bc0a88,1768,,"[92.7, 31.6]",3754230,40,,,,,-0.479732,a3fb0702-df2f-482b-96d0-4c0d532dea39,Left Foot,,,"[107.5, 23.9]",,Ground Pass,,16.683226,,,,Alberto Moreno Pérez,3515.0,True,,,,,,1,From Free Kick,Adam David Lallana,4090.0,Right Attacking Midfield,94,Liverpool,24,"['2873903e-9450-49f5-8155-b4b3078a5c8e', 'be2df55e-ba57-404a-8a02-b5e35f8fe81c']",42,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:42.774,Pass,True
,,,,,,,,,,,,,,,,0.467794,,,,,,,,,,,,e8e2e3d8-6262-4385-bb60-701a40d801d5,1772,,"[6.0, 44.0]",3754230,41,,True,,,1.1601716,,Right Foot,,,"[18.8, 73.4]",,Ground Pass,,32.06556,,,,Cédric Ricardo Alves Soares,3329.0,,,,,,Goal Kick,1,From Goal Kick,Maarten Stekelenburg,20201.0,Goalkeeper,95,Southampton,25,['a8c5416b-aa3f-47e9-9680-88e4a979d789'],11,,,,,,,,,,,,,,,,,,Southampton,25,00:41:11.844,Pass,
,,,,,,,,,,,,,,,,2.732944,,,,,,,,,,,,faffe763-d37b-4173-8445-4aacc761407e,1774,,"[39.7, 76.5]",3754230,41,,True,,,-0.26472223,,Right Foot,,,"[89.5, 63.0]",,High Pass,,51.597385,,Incomplete,,Sadio Mané,3629.0,,,,,,,1,From Goal Kick,Cédric Ricardo Alves Soares,3329.0,Right Back,95,Southampton,25,"['57223d28-21e0-4e64-a2e5-c3e75b4cd975', '7052f394-5c04-422a-9532-37c7277ab4ad']",12,,,,,,,,,,,,,,,,,,Southampton,25,00:41:12.470,Pass,
