ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.837065,,,,,,,,,,,,9b061a7c-ae2b-45ff-ac97-2f8b93a52a77,1575,,,"[114.2, 6.6]",3754351,46,,,,,-1.9841267,,Right Foot,,,,"[111.7, 0.9]",,Low Pass,,6.2241464,,,,,Pape N''Diaye Souaré,4884.0,,,,,,1,From Throw In,Bakary Sako,3469.0,Center Forward,90,Crystal Palace,31,['11b21b79-90f6-429c-87ec-4a646cf953ef'],46,,,,,,,,,,,,,,,,,Crystal Palace,31,00:46:46.892,Pass,
,,,,,,,,,,,,,,,,4.760132,,,,,,,,,,,,86db4ebc-af1c-4570-9d86-51278aa9dd4d,1578,,,"[111.9, 1.4]",3754351,46,,,,,1.5733473,,Left Foot,True,,,"[111.7, 79.8]",,High Pass,,78.40025,,,Out,,,,,True,,,,1,From Throw In,Pape N''Diaye Souaré,4884.0,Left Back,90,Crystal Palace,31,,48,,,,,,,,,,,,,,,,,Crystal Palace,31,00:46:48.672,Pass,
,,,,,,,,,,,,,,,,2.169122,,,,,,,,,,,,cc285e2a-65d7-4384-a5db-24df5f5a270c,1579,,,"[8.4, 0.1]",3754351,47,,True,,,1.7092978,,,,,,"[6.1, 16.6]",,Low Pass,,16.659533,,,,,Dejan Lovren,3471.0,,,,,Throw-in,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,91,Liverpool,24,['5fffecf0-b174-43ce-8f59-5f2caa4270a3'],5,,,,,,,,,,,,,,,,,Liverpool,24,00:47:05.167,Pass,
,,,,,,,,,,,,,,,,1.854368,,,,,,,,,,,,6cfcfe94-9e2b-46d3-b43a-88c3539d6aa0,1581,,,"[6.1, 16.6]",3754351,47,,,,,0.33406362,,Left Foot,,,,"[52.2, 32.6]",,High Pass,,48.79764,,,,,Adam David Lallana,4090.0,,,,,,1,From Throw In,Dejan Lovren,3471.0,Left Center Back,91,Liverpool,24,['dbde46b9-85e2-40b0-8b51-3a597273460a'],7,,,,,,,,,,,,,,,,,Liverpool,24,00:47:07.478,Pass,
,,,,,,,,,,,,,,,,0.895473,,,,,,,,,,,,4289602b-0f46-4123-aab8-2760cb279084,1585,,,"[52.5, 32.4]",3754351,47,,,,,-0.74716544,,Right Foot,,,,"[62.0, 23.6]",,Ground Pass,,12.949517,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Throw In,Adam David Lallana,4090.0,Center Attacking Midfield,91,Liverpool,24,['1146afdb-1719-4ea6-bd63-3a54584f151a'],12,,,,,,,,,,,,,,,,,Liverpool,24,00:47:12.328,Pass,
,,,,,,,,,,,,,,,,1.635257,,,,,,,,,,,,6c40bc59-77bd-4e6a-b398-b140493a3026,1587,,,"[62.0, 23.6]",3754351,47,,,,,-1.5900247,,Right Foot,,,,"[61.7, 8.0]",,Ground Pass,,15.602884,,,,,Emre Can,3493.0,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,91,Liverpool,24,['1b51e69c-82a8-41e0-9c4e-88084e03904f'],13,,,,,,,,,,,,,,,,,Liverpool,24,00:47:13.224,Pass,
,,,,,,,,,,,,,,,,0.931314,,,,,,,,,,,,c5da2acd-9d67-46db-ace2-20dffb88bdf8,1590,,,"[63.0, 7.7]",3754351,47,,,,,0.028401451,,Left Foot,,,,"[80.6, 8.2]",,Ground Pass,,17.607101,,,,,Christian Benteke Liolo,3380.0,,,,,,1,From Throw In,Emre Can,3493.0,Right Center Midfield,91,Liverpool,24,['32aaffc0-cf4d-4176-b0e1-08e96d580881'],14,,,,,,,,,,,,,,,,,Liverpool,24,00:47:14.919,Pass,
,,,,,,,,,,,,,,,,0.961126,,,,,,,,,,,,5c3016fa-db35-4f48-bf3e-de40680149cb,1592,,,"[80.6, 8.2]",3754351,47,,,,,-2.9562447,,Right Foot,,,,"[71.0, 6.4]",,Ground Pass,,9.767292,,,,,Emre Can,3493.0,,,,,,1,From Throw In,Christian Benteke Liolo,3380.0,Center Forward,91,Liverpool,24,['1dd0203b-ecb8-4680-9611-52e4333ed175'],15,,,,,,,,,,,,,,,,,Liverpool,24,00:47:15.851,Pass,
,,,,,,,,,,,,,,,,1.482204,,,,,,,,,,,,6e439354-17e2-418e-bb80-b9598fb0740b,1595,,,"[65.6, 8.4]",3754351,47,,,,,1.9653792,,Right Foot,,,,"[51.4, 42.5]",,Ground Pass,,36.93846,,,,,Martin Škrtel,18872.0,,,,,,1,From Throw In,Emre Can,3493.0,Right Center Midfield,91,Liverpool,24,['93be887b-c21b-487f-9f9f-147bfa173a92'],18,,,,,,,,,,,,,,,,,Liverpool,24,00:47:18.908,Pass,
,,,,,,,,,,,,,,,,2.127662,,,,,,,,,,,,f8652263-12e1-4157-a532-3c6b2f103843,1598,,,"[56.6, 50.7]",3754351,47,,,,,1.038018,,Right Foot,,,,"[73.7, 79.7]",,Ground Pass,,33.666157,,,,,Jordon Ibe,3635.0,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,91,Liverpool,24,['e8b17f15-6312-4e96-91cd-6289d152f8cc'],21,,,,,,,,,,,,,,,,,Liverpool,24,00:47:21.985,Pass,
