bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.707318,,,,,,,,,,,,5d4574f1-d85c-46cb-82e5-9432aaed85ab,1930,,"[74.0, 15.2]",3754060,56,,,,,-1.9206519,,Right Foot,,,"[71.3, 7.8]",,Ground Pass,,7.877182,,,,Ross Barkley,4275.0,,,,,,,2,From Free Kick,James McCarthy,3607.0,Right Center Midfield,124,Everton,29,['7aa52ffa-6946-4b90-8d13-9f1de3ce416c'],54,,,,,,,,,,,,,,,,,Everton,29,00:11:54.558,Pass,
,,,,,,,,,,,,,,,,,,1.449851,,,,,,,,,,,,6c46a604-27f7-4d04-b20f-517c9fec7679,1933,,"[80.8, 12.4]",3754060,56,,,,,-0.5272223,,Right Foot,,,"[95.4, 3.9]",,Ground Pass,,16.894081,,,,Brendan Joel Zibusiso Galloway,30702.0,,,,,,,2,From Free Kick,Ross Barkley,4275.0,Center Attacking Midfield,124,Everton,29,['75a76eaf-200c-443b-afa3-55bf4334a768'],56,,,,,,,,,,,,,,,,,Everton,29,00:11:56.435,Pass,
,,,,,,,,,,,,,,,,,,1.739203,,,,,,,,,,,,cb7fd559-ad21-4fff-9ca5-dc39fe4bd6c6,1936,,"[95.4, 3.9]",3754060,56,,,,,0.2573237,,Left Foot,,,"[112.5, 8.4]",,Ground Pass,,17.682194,,,,Ross Barkley,4275.0,,,,,,,2,From Free Kick,Brendan Joel Zibusiso Galloway,30702.0,Left Back,124,Everton,29,['5d02bda1-3007-48dd-88a5-5fc31ce51aaf'],58,,,,,,,,,,,,,,,,,Everton,29,00:11:58.983,Pass,
,,,,,,,,,,,,,,,,,,1.184013,,,,,,,,,,,,659c5763-2791-4039-9baa-855f1abc1974,1939,,"[112.5, 8.4]",3754060,57,,,,,1.4337301,,Left Foot,True,,"[116.5, 37.4]",,Ground Pass,,29.274563,,Incomplete,,Romelu Lukaku Menama,3289.0,,,,,,,2,From Free Kick,Ross Barkley,4275.0,Center Attacking Midfield,124,Everton,29,"['25c92d05-e216-43c9-a947-feb897bdb57c', '49838693-ad94-4bad-be20-3cff93d247ad']",0,,,,,,,,,,,,,,,,,Everton,29,00:12:00.922,Pass,
,,,,,,,,,,,,,,,,,,7.818401,,,,,,,,,,,,e455ecd1-7ab7-4c1b-9baf-030bfa7393f1,1943,,"[13.0, 46.1]",3754060,57,,,,,0.4076559,,Drop Kick,,,"[91.5, 80.0]",,High Pass,,85.50707,,Out,,,,,,,,,,2,From Keeper,Simon Mignolet,3539.0,Goalkeeper,125,Liverpool,24,,8,,,,,,,,,,,,,,,,,Liverpool,24,00:12:08.240,Pass,
,,,,,,,,,,,,,,,,,,0.929511,,,,,,,,,,,,152ab312-6cca-4b0f-ad57-6bc889987d84,1944,,"[28.6, 0.1]",3754060,57,,,,,0.17046072,,,,,"[40.8, 2.2]",,High Pass,,12.379418,,,,Steven Naismith,9528.0,,,,,,Throw-in,2,From Throw In,Brendan Joel Zibusiso Galloway,30702.0,Left Back,126,Everton,29,['8c4029fa-6ccb-40c5-96fc-5187f89f9c25'],28,,,,,,,,,,,,,,,,,Everton,29,00:12:28.577,Pass,
,,,,,,,,,,,,,,,,,,0.721291,,,,,,,,,,,,4934debf-c449-45aa-8cd0-5076211d88b4,1948,,"[40.8, 2.9]",3754060,57,,,,,-2.9380996,,Right Foot,,,"[34.5, 1.6]",,Low Pass,,6.432729,,,,Brendan Joel Zibusiso Galloway,30702.0,,,,,,,2,From Throw In,Steven Naismith,9528.0,Left Wing,126,Everton,29,"['5ca2fc42-472a-46bd-b209-fdfe1091531c', 'bc13a463-f6db-4de2-a1d4-a26f9dc93132']",29,,,,,,,,,,,,,,,,,Everton,29,00:12:29.587,Pass,True
,,,,,,,,,,,,,,,,,,3.019547,,,,,,,,,,,,578fe302-34e8-4f28-9e7b-c2ea89abb830,1951,,"[34.5, 1.6]",3754060,57,,,,,0.099188,,Left Foot,,,"[75.7, 5.7]",,High Pass,,41.403503,,Incomplete,,,,,,,,,,2,From Throw In,Brendan Joel Zibusiso Galloway,30702.0,Left Back,126,Everton,29,['6857dcda-10c7-4189-8bcf-ac6189b836ec'],30,,,,,,,,,,,,,,,,,Everton,29,00:12:30.348,Pass,
,,,,,,,,,,,,,,,,,,2.093845,,,,,,,,,,,,848032cc-a801-4e57-bed3-f54d35d40aa1,1954,,"[32.2, 73.7]",3754060,57,,,,,-2.462838,,Right Foot,,,"[11.0, 56.6]",,Ground Pass,,27.236923,,,,Simon Mignolet,3539.0,,,,,,,2,Regular Play,Emre Can,3493.0,Right Center Back,127,Liverpool,24,['4c952bf4-73cb-4537-8437-33a007c5c020'],34,,,,,,,,,,,,,,,,,Liverpool,24,00:12:34.830,Pass,
,,,,,,,,,,,,,,,,,,3.381559,,,,,,,,,,,,e75ab01e-554c-4ca3-94e5-f35e1cbddf38,1957,,"[21.5, 61.1]",3754060,57,,,,,0.11775218,,Right Foot,,,"[75.6, 67.5]",,High Pass,,54.47724,,Incomplete,,,,,,,,,,2,Regular Play,Simon Mignolet,3539.0,Goalkeeper,127,Liverpool,24,['048ad61e-dfe5-421e-8451-c65952e8d634'],46,,,,,,,,,,,,,,,,,Liverpool,24,00:12:46.014,Pass,
,,,,,,,,,,,,,,,,,,1.638032,,,,,,,,,,,,048ad61e-dfe5-421e-8451-c65952e8d634,1958,,"[44.5, 12.6]",3754060,57,,,,,-0.26774904,,Head,,,"[67.1, 6.4]",,High Pass,,23.435017,,Incomplete,,,,,,,,,Recovery,2,Regular Play,José Ramiro Funes Mori,4629.0,Left Center Back,127,Liverpool,24,"['366b8b9d-3c8b-43ac-bbbf-2eced6198dfc', 'e75ab01e-554c-4ca3-94e5-f35e1cbddf38']",49,,,,,,,,,,,,,,,,,Everton,29,00:12:49.396,Pass,
