50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[100.0, 21.1]",,,,,,,,,,,,3.976358,,,,,,,,,,,0ba833ea-39b7-446c-8884-d9db15c8402d,370,,"[76.8, 5.5]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Left Wing,11,Manchester City,36,"['12ec639a-cc1c-48ce-9499-cdb7b55ae90e', '357f6511-bbd1-4bed-99b6-17d569c65a95', '8b2d9a78-024e-48cb-bf47-2ce5ced413b1']",49,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:49.559,Carry,True
,,,,,,"[56.4, 39.8]",,,,,,,,,,,,0.951129,,,,,,,,,,,f708b431-4049-4c39-b959-3c957f46bbdc,382,,"[52.2, 40.5]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,12,Manchester City,36,"['49be2698-0425-4869-a3be-c6ad57b05958', 'a4559e53-1bb2-41f2-b249-5890758aaf6e', 'f16fd2cc-8d1c-4b75-8b75-ecd8bb5c9105']",1,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:01.028,Carry,True
,,,,,,"[58.7, 6.9]",,,,,,,,,,,,2.785602,,,,,,,,,,,e8b155b8-8e56-4327-993b-8eefe48be18d,386,,"[50.5, 5.3]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Aleksandar Kolarov,5596.0,Left Back,12,Manchester City,36,"['5dd152e4-a865-4b95-a0f5-7b8b26ce747c', '736adf93-85bc-4233-9e4b-e0896330d297', 'b2da86a9-1a9b-4eed-8d1f-212afdd1e456']",4,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:04.191,Carry,True
,,,,,,"[4.8, 23.5]",,,,,,,,,,,,1.727592,,,,,,,,,,,edb9120d-9ff4-4af3-a763-6ce2b11e085b,390,,"[3.6, 21.9]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Joe Hart,3291.0,Goalkeeper,12,Manchester City,36,"['212b4cd8-6032-4b00-9528-05f717867374', '2c284e88-5f27-431a-ae20-f1b4299e55df', 'f30ccb65-372c-45eb-8c79-6cbb4e66b089']",10,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:10.814,Carry,True
,,,,,,"[74.0, 65.2]",,,,,,,,,,,,19.138153,,,,,,,,,,,0d2664d6-7d4e-45c2-ab55-5f04f23a5839,397,,"[13.2, 31.3]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Joe Hart,3291.0,Goalkeeper,12,Manchester City,36,"['76d0f3da-7d56-4a88-93f6-0b6a9d209433', 'ce68d061-a092-4daf-85e0-d9a900b9c62e']",18,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:18.821,Carry,
,,,,,,"[55.8, 73.7]",,,,,,,,,,,,0.119999,,,,,,,,,,,8f9b7883-0692-4914-be89-5c0d027bdce5,405,,"[55.0, 73.7]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bacary Sagna,7110.0,Right Back,13,Manchester City,36,"['522d802d-d0db-4ac9-a299-171465309715', '52570388-ba37-41d4-8d21-e9a5ce6e0f69']",56,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:56.029,Carry,
,,,,,,"[50.3, 59.8]",,,,,,,,,,,,0.840224,,,,,,,,,,,3943111a-3d57-4bce-b89a-702116a0a9eb,409,,"[48.0, 61.0]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Martín Gastón Demichelis,19288.0,Right Center Back,13,Manchester City,36,"['02755a35-d729-4f52-9e1a-e7960b5834df', '0c664b56-8188-47c3-86f1-637d2e2ea1cd', 'a2b3261a-6d70-48c1-9431-99493395504f']",57,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:57.308,Carry,True
,,,,,,"[64.6, 66.4]",,,,,,,,,,,,0.787739,,,,,,,,,,,cb9ae61d-e02e-4d2c-8c41-23984faaff45,412,,"[65.2, 65.8]",3754208,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jesús Navas González,6821.0,Right Wing,13,Manchester City,36,"['12fb3ef4-1c01-476e-b14b-340c63659d76', 'a7e1a0fa-e6be-4d24-b12e-2a0bdc707176']",59,,,,,,,,,,,,,,,,,,Manchester City,36,00:08:59.289,Carry,
,,,,,,"[65.0, 56.3]",,,,,,,,,,,,0.08,,,,,,,,,,,d5c1718b-0d04-4011-906b-4de711ec7593,416,,"[64.4, 55.3]",3754208,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,13,Manchester City,36,"['12767258-1a27-4687-97ed-37b7de676bc7', 'b5657435-77b4-46a9-9765-f62fdf5b67de', 'f993ae7e-d4e9-4a27-a887-11335e5dd9c0']",0,,,,,,,,,,,,,,,,,,Manchester City,36,00:09:00.626,Carry,True
,,,,,,"[86.1, 77.2]",,,,,,,,,,,,0.040000003,,,,,,,,,,,f76c5c35-528d-497c-bf2f-b8e2257d0ba4,426,,"[86.4, 78.9]",3754208,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bacary Sagna,7110.0,Right Back,13,Manchester City,36,"['32fbe498-e732-4bab-8159-500b3f39e0e2', '5fe1dfd9-e0a3-4717-a124-76bb8860f880', '954d45b6-d824-4f8e-aa84-07065548b7f6']",6,,,,,,,,,,,,,,,,,,Manchester City,36,00:09:06.232,Carry,True
,,,,,,"[116.7, 60.0]",,,,,,,,,,,,0.08,,,,,,,,,,,4e3e1901-9969-43b8-8196-3bda602e7f73,429,,"[116.7, 60.2]",3754208,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Kevin De Bruyne,3089.0,Center Attacking Midfield,13,Manchester City,36,"['0596fc55-be35-4db4-a5de-8bd5b9104272', 'fd11c4fa-a7bc-4d31-a978-0a41c7232b7e']",8,,,,,,,,,,,,,,,,,,Manchester City,36,00:09:08.650,Carry,
