50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[45.2, 49.5]",,,,,,,,,,,,0.999998,,,,,,,,,,,,,1f63e991-b720-44c0-9f44-5f4f16c8ba1c,2915,,"[47.0, 50.4]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Emre Can,3493.0,Center Defensive Midfield,135,Liverpool,24,"['1ede3542-6707-477f-84a9-8e259dcb7336', '5176fd8b-ef08-4d0d-bece-994472068dda', 'e31e8a54-8afa-46d8-8683-cd3f4f82aa66']",33,,,,,,,,,,,,,,,,,Liverpool,24,00:27:33.283,Carry,True
,,,,"[20.3, 25.2]",,,,,,,,,,,,2.679999,,,,,,,,,,,,,d9aa1036-d10b-48b3-95c8-084b9d20cf7b,2919,,"[20.3, 25.2]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mamadou Sakho,3483.0,Left Center Back,135,Liverpool,24,"['408046db-a566-4315-8bbe-63994b3d905a', 'e58a97ba-de79-44c0-9d16-85b7e996f405']",36,,,,,,,,,,,,,,,,,Liverpool,24,00:27:36.923,Carry,
,,,,"[40.1, 11.2]",,,,,,,,,,,,1.055725,,,,,,,,,,,,,e984a2d7-b629-4772-afb7-fc1386346367,2924,,"[37.2, 6.0]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alberto Moreno Pérez,3515.0,Left Back,135,Liverpool,24,"['36f45abd-4832-40f6-b407-82e811a61dae', '64c71e34-2828-4a06-9cf9-2c6f5da8522f', '9042cfb8-a313-4e45-9aed-a2e3f7bd2df6']",42,,,,,,,,,,,,,,,,,Liverpool,24,00:27:42.182,Carry,True
,,,,"[84.1, 62.1]",,,,,,,,,,,,0.576586,,,,,,,,,,,,,63ec89f2-4667-488e-9e01-8bc76db9331a,2930,,"[84.1, 62.7]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Dame N''Doye,16295.0,Right Wing,136,Sunderland,41,"['160dd33a-9680-4ce8-b9fd-707fce096a57', '797ae778-ab38-4086-bf92-d9c4bf26ba57', '80b1091f-13c3-48cc-8447-681aef924a67', 'b7cbd612-551e-4b69-9b53-f4c82cae368c']",44,,,,,,,,,,,,,,,,,Sunderland,41,00:27:44.746,Carry,True
,,,,"[54.9, 32.0]",,,,,,,,,,,,2.230879,,,,,,,,,,,,,999e1431-cd1c-4ae1-9e1c-0a2d56b7bd19,2940,,"[56.0, 35.8]",3754316,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Patrick van Aanholt,3321.0,Left Back,137,Sunderland,41,"['d68d844a-8022-4788-9a25-84730e093288', 'ef4f3f63-c828-40b5-a72a-17cb095a491a']",35,,,,,,,,,,,,,,,,,Sunderland,41,00:28:35.948,Carry,
,,,,"[30.3, 2.5]",,,,,,,,,,,,0.58145,,,,,,,,,,,,,8249d036-e307-477a-a678-5bdcd39a52b1,2949,,"[41.1, 2.1]",3754316,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Patrick van Aanholt,3321.0,Left Back,137,Sunderland,41,"['29fc4920-3245-452e-b76d-ca6b19dce656', '455fec9d-3475-4177-9329-676a5749f6e0', 'd88b87be-1575-47a0-ad16-78f8a1f0f3e5']",50,,,,,,,,,,,,,,,,,Sunderland,41,00:28:50.372,Carry,True
,,,,"[26.5, 17.8]",,,,,,,,,,,,0.08,,,,,,,,,,,,,a426aac3-c2fb-427f-a2d3-2865b31ec569,2952,,"[26.5, 17.8]",3754316,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,John O''Shea,16890.0,Left Center Back,137,Sunderland,41,"['c65db8fa-6729-491c-b6a7-f4c4b421634f', 'eae54763-25ff-4e3e-84ea-cbba70a5789a']",52,,,,,,,,,,,,,,,,,Sunderland,41,00:28:52.513,Carry,
,,,,"[8.6, 34.7]",,,,,,,,,,,,0.12,,,,,,,,,,,,,7ed08bee-4ef6-411e-9a21-0ddb8dded5fd,2955,,"[8.6, 35.1]",3754316,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Vito Mannone,9539.0,Goalkeeper,137,Sunderland,41,"['3d174dc1-9609-4d3c-8d4c-be0d4c771a0f', 'c34745a1-ac70-47f8-9c7c-a9deaff12611']",54,,,,,,,,,,,,,,,,,Sunderland,41,00:28:54.938,Carry,
,,,,"[66.8, 14.8]",,,,,,,,,,,,0.159999,,,,,,,,,,,,,9b5cd1db-d4b0-482a-8c25-f121c6a0a244,2959,,"[67.8, 14.2]",3754316,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Dame N''Doye,16295.0,Right Wing,137,Sunderland,41,"['2460c921-ddf4-49c3-addd-db38e8790d97', '7e775c90-7d93-45cf-9c59-7cb4f51a4cf3', 'b75c9f51-6a89-4ed6-bce3-6efd24bf5b45']",59,,,,,,,,,,,,,,,,,Sunderland,41,00:28:59.326,Carry,True
,,,,"[62.2, 77.8]",,,,,,,,,,,,3.849635,,,,,,,,,,,,,6b5a826c-ffb2-44cf-a5e4-078da0b01da4,2962,,"[62.6, 71.5]",3754316,74,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adam David Lallana,4090.0,Left Wing,138,Liverpool,24,"['9dc44419-29ca-4cf6-bdc7-099363c771ad', 'a71136a5-bfcf-4d7e-b65b-9954d0fbdfb4']",0,,,,,,,,,,,,,,,,,Liverpool,24,00:29:00.596,Carry,
